"hotel","arrival_date_month","arrival_date_year","num_booking","num_cancel","distribution_channel","customer_type"
"Resort Hotel","December",2015,"11","0","Corporate","Transient-Party"
"Resort Hotel","November",2016,"3","0","Corporate","Transient"
"City Hotel","August",2017,"144","8","TA/TO","Transient-Party"
"Resort Hotel","November",2015,"51","23","TA/TO","Transient-Party"
"Resort Hotel","April",2016,"7","0","Corporate","Transient-Party"
"City Hotel","December",2015,"76","3","TA/TO","Transient-Party"
"Resort Hotel","March",2016,"1","0","Corporate","Transient-Party"
"Resort Hotel","April",2016,"3","0","Direct","Transient"
"City Hotel","November",2016,"528","322","TA/TO","Transient"
"Resort Hotel","June",2016,"28","2","Direct","Transient-Party"
"Resort Hotel","September",2016,"17","0","Corporate","Transient-Party"
"Resort Hotel","May",2016,"209","32","TA/TO","Transient"
"Resort Hotel","June",2016,"1","0","Direct","Transient"
"Resort Hotel","March",2016,"4","0","Direct","Transient"
"City Hotel","July",2015,"45","36","TA/TO","Transient-Party"
"City Hotel","February",2017,"1","0","Corporate","Transient"
"City Hotel","July",2015,"2","2","Direct","Transient-Party"
"Resort Hotel","June",2016,"1","1","Direct","Transient"
"Resort Hotel","January",2017,"1","0","Corporate","Transient"
"Resort Hotel","September",2016,"104","8","TA/TO","Contract"
"Resort Hotel","October",2015,"28","0","Corporate","Transient-Party"
"Resort Hotel","December",2015,"1","0","TA/TO","Transient"
"Resort Hotel","February",2017,"9","0","TA/TO","Transient-Party"
"Resort Hotel","August",2017,"146","42","TA/TO","Transient"
"City Hotel","May",2017,"2","2","Corporate","Group"
"Resort Hotel","April",2016,"1","0","Direct","Transient-Party"
"City Hotel","July",2017,"4","1","Corporate","Transient"
"Resort Hotel","January",2017,"5","1","TA/TO","Transient"
"Resort Hotel","April",2016,"194","16","TA/TO","Transient"
"City Hotel","September",2016,"1","0","TA/TO","Group"
"City Hotel","March",2016,"1366","531","TA/TO","Transient"
"City Hotel","June",2017,"400","400","TA/TO","Transient"
"Resort Hotel","December",2016,"98","14","TA/TO","Transient-Party"
"City Hotel","November",2016,"21","4","Direct","Transient-Party"
"Resort Hotel","January",2017,"3","0","TA/TO","Transient"
"City Hotel","February",2016,"13","10","TA/TO","Contract"
"Resort Hotel","March",2016,"132","27","Direct","Transient-Party"
"City Hotel","December",2015,"303","88","TA/TO","Transient"
"City Hotel","October",2016,"1935","824","TA/TO","Transient"
"City Hotel","March",2016,"20","2","Direct","Transient"
"Resort Hotel","February",2017,"2","0","Corporate","Group"
"City Hotel","June",2016,"1454","502","TA/TO","Transient"
"City Hotel","September",2015,"1","0","Direct","Transient-Party"
"Resort Hotel","December",2016,"4","0","Corporate","Transient-Party"
"City Hotel","February",2016,"4","1","Corporate","Transient"
"City Hotel","May",2017,"442","266","TA/TO","Transient"
"City Hotel","July",2015,"200","200","TA/TO","Contract"
"Resort Hotel","September",2015,"40","21","TA/TO","Transient-Party"
"City Hotel","August",2016,"191","31","TA/TO","Transient-Party"
"Resort Hotel","September",2016,"20","0","Corporate","Transient-Party"
"Resort Hotel","January",2017,"85","10","Corporate","Transient"
"City Hotel","December",2015,"122","120","TA/TO","Transient"
"Resort Hotel","May",2017,"1","0","Direct","Transient"
"Resort Hotel","December",2016,"2","0","Corporate","Transient"
"City Hotel","November",2016,"1","0","Direct","Transient"
"City Hotel","November",2015,"120","21","TA/TO","Transient"
"Resort Hotel","August",2016,"63","6","TA/TO","Transient-Party"
"Resort Hotel","October",2016,"2","0","Corporate","Group"
"City Hotel","July",2017,"124","123","TA/TO","Transient"
"Resort Hotel","November",2015,"8","0","Direct","Transient"
"City Hotel","September",2015,"790","340","TA/TO","Transient-Party"
"Resort Hotel","January",2016,"349","67","TA/TO","Transient"
"Resort Hotel","January",2016,"3","0","TA/TO","Contract"
"Resort Hotel","April",2017,"26","2","Direct","Transient-Party"
"Resort Hotel","March",2016,"18","15","TA/TO","Transient"
"Resort Hotel","October",2016,"8","3","Direct","Transient"
"City Hotel","October",2016,"5","0","TA/TO","Group"
"City Hotel","November",2015,"151","27","TA/TO","Transient"
"City Hotel","December",2016,"4","0","TA/TO","Group"
"Resort Hotel","October",2015,"7","7","Direct","Group"
"City Hotel","February",2017,"1","1","Corporate","Transient-Party"
"Resort Hotel","April",2016,"2","0","TA/TO","Transient"
"City Hotel","July",2015,"63","59","TA/TO","Transient"
"City Hotel","April",2016,"298","295","TA/TO","Transient"
"City Hotel","April",2017,"1","0","Corporate","Transient"
"City Hotel","June",2016,"191","98","Corporate","Transient-Party"
"Resort Hotel","April",2016,"10","1","TA/TO","Transient"
"Resort Hotel","May",2017,"753","332","TA/TO","Transient"
"Resort Hotel","June",2017,"198","63","TA/TO","Transient"
"City Hotel","March",2017,"56","5","TA/TO","Transient-Party"
"City Hotel","March",2016,"212","26","TA/TO","Transient-Party"
"Resort Hotel","February",2017,"106","7","TA/TO","Transient-Party"
"City Hotel","April",2017,"1","1","TA/TO","Group"
"Resort Hotel","April",2016,"4","0","Direct","Group"
"City Hotel","September",2016,"17","1","Direct","Transient"
"Resort Hotel","July",2017,"137","22","TA/TO","Transient"
"Resort Hotel","April",2017,"1","0","TA/TO","Transient-Party"
"City Hotel","June",2017,"550","393","TA/TO","Transient"
"Resort Hotel","January",2016,"61","4","Corporate","Transient"
"Resort Hotel","March",2017,"155","23","Direct","Transient"
"Resort Hotel","December",2016,"126","15","TA/TO","Transient"
"City Hotel","February",2016,"4","0","TA/TO","Group"
"Resort Hotel","February",2016,"1","0","TA/TO","Transient-Party"
"City Hotel","March",2017,"312","30","TA/TO","Transient-Party"
"City Hotel","June",2016,"2","1","Direct","Transient-Party"
"City Hotel","September",2016,"2","0","TA/TO","Transient"
"City Hotel","December",2016,"1","0","Direct","Group"
"Resort Hotel","June",2016,"594","254","TA/TO","Transient"
"City Hotel","February",2016,"5","0","TA/TO","Transient"
"City Hotel","April",2017,"424","264","TA/TO","Transient"
"City Hotel","October",2016,"1","0","Direct","Transient"
"Resort Hotel","May",2017,"1","0","Corporate","Transient"
"Resort Hotel","June",2016,"43","8","Corporate","Transient"
"Resort Hotel","December",2016,"5","1","Direct","Transient"
"Resort Hotel","January",2017,"2","0","Corporate","Transient"
"City Hotel","May",2017,"1","0","TA/TO","Transient-Party"
"City Hotel","March",2016,"7","0","Direct","Transient"
"City Hotel","November",2016,"178","38","Direct","Transient"
"Resort Hotel","November",2016,"53","50","TA/TO","Transient"
"City Hotel","October",2015,"316","38","TA/TO","Transient"
"City Hotel","February",2016,"21","9","Direct","Transient-Party"
"Resort Hotel","December",2016,"54","3","Corporate","Transient"
"City Hotel","September",2016,"7","0","GDS","Transient"
"Resort Hotel","March",2017,"10","1","Direct","Transient"
"Resort Hotel","September",2015,"9","5","TA/TO","Transient"
"Resort Hotel","September",2015,"1","1","Direct","Transient"
"Resort Hotel","February",2017,"70","13","TA/TO","Transient-Party"
"Resort Hotel","July",2017,"2","0","Direct","Transient"
"Resort Hotel","April",2017,"2","0","TA/TO","Group"
"City Hotel","June",2016,"315","311","TA/TO","Transient"
"Resort Hotel","April",2017,"6","3","Direct","Transient"
"City Hotel","April",2017,"15","2","Corporate","Transient-Party"
"Resort Hotel","November",2016,"1","0","Direct","Group"
"City Hotel","December",2016,"17","1","Direct","Transient"
"City Hotel","February",2016,"3","0","Direct","Transient"
"Resort Hotel","October",2015,"104","99","TA/TO","Transient"
"Resort Hotel","July",2016,"3","1","Direct","Transient"
"Resort Hotel","December",2016,"27","4","Direct","Transient-Party"
"Resort Hotel","December",2016,"30","30","TA/TO","Transient"
"City Hotel","September",2015,"196","21","Direct","Transient"
"Resort Hotel","July",2015,"237","29","Direct","Transient"
"Resort Hotel","April",2017,"8","5","Direct","Transient"
"City Hotel","November",2016,"331","322","TA/TO","Transient"
"City Hotel","April",2016,"52","6","Corporate","Transient"
"City Hotel","August",2016,"223","223","TA/TO","Transient"
"Resort Hotel","November",2016,"50","17","TA/TO","Transient-Party"
"Resort Hotel","December",2015,"177","13","TA/TO","Transient"
"Resort Hotel","September",2015,"5","4","Direct","Group"
"Resort Hotel","July",2015,"639","202","TA/TO","Transient"
"City Hotel","August",2015,"3","0","Direct","Transient"
"City Hotel","October",2015,"13","1","TA/TO","Group"
"City Hotel","January",2017,"19","7","TA/TO","Transient-Party"
"City Hotel","October",2015,"20","4","TA/TO","Transient-Party"
"City Hotel","October",2016,"600","342","TA/TO","Transient"
"Resort Hotel","August",2015,"20","5","TA/TO","Transient-Party"
"Resort Hotel","June",2017,"13","0","TA/TO","Transient-Party"
"City Hotel","September",2015,"5","1","TA/TO","Group"
"City Hotel","June",2016,"584","89","TA/TO","Transient-Party"
"Resort Hotel","July",2017,"25","5","Direct","Transient-Party"
"Resort Hotel","January",2016,"1","1","TA/TO","Transient"
"City Hotel","November",2016,"1524","542","TA/TO","Transient"
"Resort Hotel","February",2017,"6","0","Direct","Transient"
"City Hotel","March",2016,"5","0","Direct","Transient"
"Resort Hotel","July",2017,"6","0","TA/TO","Transient"
"City Hotel","November",2015,"4","0","Direct","Transient"
"Resort Hotel","February",2016,"255","17","Direct","Transient"
"Resort Hotel","March",2017,"11","3","Corporate","Transient"
"Resort Hotel","May",2016,"154","26","Direct","Transient"
"City Hotel","March",2016,"3","0","TA/TO","Transient"
"Resort Hotel","August",2017,"116","14","TA/TO","Contract"
"Resort Hotel","November",2015,"14","2","TA/TO","Transient-Party"
"Resort Hotel","March",2016,"109","16","TA/TO","Transient-Party"
"Resort Hotel","March",2016,"629","168","TA/TO","Transient"
"Resort Hotel","December",2016,"1","0","TA/TO","Transient-Party"
"Resort Hotel","December",2015,"1","0","TA/TO","Transient"
"City Hotel","August",2016,"162","28","TA/TO","Transient-Party"
"Resort Hotel","July",2017,"1","0","TA/TO","Group"
"City Hotel","May",2017,"635","634","TA/TO","Transient"
"City Hotel","January",2017,"2","0","TA/TO","Transient"
"Resort Hotel","May",2016,"29","29","Corporate","Transient"
"Resort Hotel","May",2016,"2","0","TA/TO","Group"
"Resort Hotel","June",2016,"1","0","TA/TO","Group"
"Resort Hotel","August",2017,"2","1","TA/TO","Group"
"City Hotel","June",2016,"1","0","TA/TO","Group"
"Resort Hotel","September",2015,"3","0","TA/TO","Transient-Party"
"Resort Hotel","October",2016,"1","0","Direct","Transient"
"City Hotel","September",2015,"1","1","Direct","Group"
"City Hotel","June",2016,"1","0","TA/TO","Transient"
"City Hotel","November",2015,"98","24","Direct","Transient"
"Resort Hotel","February",2016,"10","0","TA/TO","Contract"
"Resort Hotel","December",2016,"547","182","TA/TO","Transient"
"Resort Hotel","August",2017,"1","0","Corporate","Group"
"City Hotel","October",2015,"477","132","TA/TO","Transient-Party"
"Resort Hotel","October",2016,"4","0","Corporate","Transient"
"City Hotel","March",2017,"5","0","TA/TO","Group"
"City Hotel","August",2017,"4","2","GDS","Transient"
"Resort Hotel","March",2017,"12","0","TA/TO","Transient"
"City Hotel","June",2017,"299","67","Direct","Transient"
"Resort Hotel","January",2016,"3","0","Corporate","Transient-Party"
"Resort Hotel","January",2017,"7","0","TA/TO","Group"
"Resort Hotel","April",2016,"147","141","TA/TO","Transient"
"City Hotel","August",2015,"2","0","Corporate","Transient"
"City Hotel","May",2017,"2383","1046","TA/TO","Transient"
"City Hotel","September",2015,"750","250","TA/TO","Transient-Party"
"City Hotel","March",2016,"1","0","TA/TO","Transient"
"Resort Hotel","January",2016,"1","0","TA/TO","Group"
"Resort Hotel","February",2017,"68","6","Corporate","Transient"
"Resort Hotel","July",2016,"1","0","Corporate","Transient"
"City Hotel","February",2017,"50","3","Corporate","Transient"
"City Hotel","August",2017,"189","30","TA/TO","Transient-Party"
"Resort Hotel","October",2015,"1","0","Direct","Transient"
"Resort Hotel","June",2017,"14","3","TA/TO","Transient-Party"
"City Hotel","July",2017,"1","1","Corporate","Transient"
"City Hotel","December",2016,"22","21","TA/TO","Transient-Party"
"Resort Hotel","May",2017,"1","0","Direct","Contract"
"Resort Hotel","August",2016,"1","0","Corporate","Transient"
"Resort Hotel","March",2017,"56","6","Direct","Transient-Party"
"Resort Hotel","December",2016,"3","0","Direct","Transient"
"City Hotel","November",2016,"33","10","Corporate","Transient-Party"
"Resort Hotel","July",2016,"226","40","Direct","Transient"
"Resort Hotel","August",2016,"1","0","TA/TO","Group"
"City Hotel","January",2017,"3","0","Direct","Transient-Party"
"Resort Hotel","February",2016,"1","0","TA/TO","Transient"
"City Hotel","February",2017,"314","77","TA/TO","Transient-Party"
"City Hotel","December",2015,"173","34","Direct","Transient"
"City Hotel","June",2017,"37","12","Corporate","Transient"
"Resort Hotel","May",2016,"83","3","Direct","Transient-Party"
"City Hotel","June",2016,"1","0","Direct","Transient"
"Resort Hotel","April",2016,"1","0","TA/TO","Transient"
"City Hotel","September",2016,"1","0","Corporate","Group"
"City Hotel","April",2017,"15","3","Direct","Transient"
"City Hotel","December",2016,"177","46","Direct","Transient"
"City Hotel","April",2016,"1","0","TA/TO","Contract"
"Resort Hotel","May",2016,"5","1","Direct","Transient"
"City Hotel","July",2017,"2243","987","TA/TO","Transient"
"City Hotel","August",2015,"2","0","TA/TO","Transient"
"Resort Hotel","May",2016,"6","0","TA/TO","Transient"
"City Hotel","June",2017,"26","2","Direct","Transient-Party"
"City Hotel","February",2017,"6","0","TA/TO","Group"
"City Hotel","September",2015,"1","0","Direct","Transient"
"City Hotel","January",2017,"21","5","GDS","Transient"
"City Hotel","May",2017,"4","0","TA/TO","Group"
"Resort Hotel","January",2017,"8","0","Corporate","Transient-Party"
"Resort Hotel","January",2017,"1","0","TA/TO","Group"
"Resort Hotel","May",2016,"3","0","TA/TO","Group"
"City Hotel","January",2016,"135","133","TA/TO","Transient"
"City Hotel","October",2016,"114","31","TA/TO","Transient-Party"
"City Hotel","April",2017,"4","0","TA/TO","Group"
"Resort Hotel","November",2015,"12","5","Direct","Transient-Party"
"Resort Hotel","September",2015,"156","28","Direct","Transient"
"Resort Hotel","July",2015,"6","1","TA/TO","Transient"
"Resort Hotel","April",2016,"86","23","Direct","Transient-Party"
"Resort Hotel","June",2017,"25","0","TA/TO","Transient-Party"
"City Hotel","April",2016,"21","2","Corporate","Transient"
"Resort Hotel","April",2017,"17","4","TA/TO","Transient-Party"
"City Hotel","June",2017,"5","0","TA/TO","Group"
"Resort Hotel","March",2017,"6","0","Direct","Group"
"Resort Hotel","June",2017,"39","39","TA/TO","Transient"
"City Hotel","June",2016,"179","26","Direct","Transient"
"Resort Hotel","November",2015,"1","0","Direct","Transient-Party"
"Resort Hotel","March",2017,"55","2","TA/TO","Transient-Party"
"Resort Hotel","October",2015,"1","0","Corporate","Contract"
"City Hotel","September",2016,"18","0","Corporate","Transient-Party"
"Resort Hotel","June",2017,"1","0","Corporate","Transient"
"City Hotel","September",2015,"12","10","Corporate","Transient"
"City Hotel","August",2015,"5","0","Direct","Group"
"City Hotel","June",2016,"70","16","Corporate","Transient"
"Resort Hotel","July",2017,"1","0","TA/TO","Group"
"Resort Hotel","September",2016,"1","0","Corporate","Transient"
"Resort Hotel","May",2016,"3","0","Direct","Transient"
"City Hotel","January",2017,"1","0","Direct","Group"
"Resort Hotel","March",2017,"8","0","TA/TO","Contract"
"Resort Hotel","October",2015,"73","6","Direct","Transient-Party"
"City Hotel","January",2016,"15","1","Direct","Transient"
"City Hotel","August",2017,"1","0","Corporate","Transient-Party"
"Resort Hotel","June",2017,"7","1","TA/TO","Group"
"City Hotel","December",2016,"4","0","Direct","Transient"
"City Hotel","December",2015,"12","1","TA/TO","Contract"
"Resort Hotel","September",2016,"1","0","Corporate","Transient"
"Resort Hotel","March",2017,"14","1","TA/TO","Transient-Party"
"City Hotel","March",2016,"2","0","Direct","Transient"
"City Hotel","June",2016,"33","1","Corporate","Transient-Party"
"Resort Hotel","December",2015,"29","0","Direct","Transient-Party"
"City Hotel","August",2016,"242","56","TA/TO","Transient"
"City Hotel","January",2017,"2","0","Corporate","Transient"
"Resort Hotel","June",2016,"2","0","Direct","Transient"
"City Hotel","January",2017,"8","0","Direct","Transient"
"City Hotel","March",2017,"2","0","Corporate","Transient"
"City Hotel","July",2017,"242","80","TA/TO","Transient"
"City Hotel","December",2015,"51","9","Corporate","Transient-Party"
"City Hotel","March",2016,"69","4","Corporate","Transient"
"Resort Hotel","April",2016,"1","0","Direct","Transient"
"Resort Hotel","May",2017,"1","0","Corporate","Group"
"Resort Hotel","May",2017,"56","51","TA/TO","Transient"
"City Hotel","September",2016,"34","6","Corporate","Transient-Party"
"City Hotel","July",2016,"1","0","TA/TO","Transient"
"City Hotel","May",2016,"2","0","TA/TO","Transient"
"City Hotel","August",2015,"1","1","Undefined","Transient-Party"
"Resort Hotel","November",2016,"4","0","Direct","Transient"
"City Hotel","January",2016,"58","8","Corporate","Transient-Party"
"Resort Hotel","May",2016,"23","2","Direct","Transient-Party"
"City Hotel","October",2015,"1","0","TA/TO","Transient"
"Resort Hotel","June",2017,"9","1","TA/TO","Transient"
"City Hotel","March",2016,"166","19","TA/TO","Transient-Party"
"City Hotel","September",2015,"1","0","TA/TO","Transient"
"Resort Hotel","May",2016,"355","139","TA/TO","Transient-Party"
"Resort Hotel","June",2017,"2","0","TA/TO","Group"
"City Hotel","December",2016,"11","4","GDS","Transient"
"Resort Hotel","May",2017,"5","0","Direct","Transient"
"City Hotel","September",2016,"3","1","TA/TO","Contract"
"Resort Hotel","February",2016,"130","79","TA/TO","Transient-Party"
"City Hotel","August",2015,"1","1","Undefined","Transient-Party"
"Resort Hotel","August",2017,"76","8","TA/TO","Transient-Party"
"Resort Hotel","July",2017,"2","0","Corporate","Transient-Party"
"City Hotel","July",2017,"12","2","Corporate","Transient-Party"
"Resort Hotel","April",2016,"31","2","Direct","Transient-Party"
"Resort Hotel","September",2016,"1","0","Direct","Transient"
"Resort Hotel","February",2017,"1","0","TA/TO","Transient-Party"
"Resort Hotel","September",2016,"11","0","Direct","Transient-Party"
"Resort Hotel","November",2015,"2","0","Corporate","Transient"
"City Hotel","March",2017,"1","0","TA/TO","Transient"
"Resort Hotel","October",2015,"1","0","Corporate","Transient-Party"
"Resort Hotel","September",2015,"202","14","TA/TO","Contract"
"Resort Hotel","January",2017,"37","2","TA/TO","Transient-Party"
"City Hotel","September",2015,"6","0","Direct","Transient-Party"
"Resort Hotel","January",2016,"5","0","TA/TO","Group"
"Resort Hotel","February",2017,"8","0","TA/TO","Group"
"City Hotel","February",2017,"249","33","Direct","Transient"
"City Hotel","July",2015,"96","24","TA/TO","Transient"
"Resort Hotel","September",2016,"1","1","TA/TO","Group"
"Resort Hotel","March",2017,"441","139","TA/TO","Transient"
"Resort Hotel","October",2015,"12","1","Corporate","Transient"
"City Hotel","February",2016,"2","1","TA/TO","Contract"
"City Hotel","August",2017,"252","66","TA/TO","Transient"
"Resort Hotel","June",2017,"1","0","TA/TO","Transient"
"City Hotel","July",2017,"121","2","TA/TO","Transient-Party"
"City Hotel","June",2016,"19","13","TA/TO","Contract"
"Resort Hotel","January",2017,"6","0","TA/TO","Transient-Party"
"Resort Hotel","July",2015,"1","0","Direct","Transient"
"Resort Hotel","February",2016,"8","0","TA/TO","Group"
"Resort Hotel","August",2016,"6","6","TA/TO","Transient"
"Resort Hotel","May",2017,"40","4","Corporate","Transient"
"City Hotel","March",2017,"242","239","TA/TO","Transient"
"City Hotel","June",2017,"147","24","TA/TO","Transient-Party"
"Resort Hotel","July",2016,"3","0","Direct","Transient"
"Resort Hotel","March",2016,"290","46","TA/TO","Transient"
"City Hotel","June",2017,"182","57","TA/TO","Transient-Party"
"Resort Hotel","May",2016,"1","0","TA/TO","Transient"
"City Hotel","March",2016,"1","0","TA/TO","Group"
"Resort Hotel","July",2015,"1","0","TA/TO","Contract"
"Resort Hotel","June",2017,"6","0","TA/TO","Group"
"City Hotel","March",2017,"18","1","Direct","Transient"
"City Hotel","April",2017,"312","43","Direct","Transient"
"City Hotel","May",2016,"9","2","GDS","Transient"
"City Hotel","August",2016,"1","0","TA/TO","Group"
"Resort Hotel","July",2015,"13","1","Direct","Transient-Party"
"City Hotel","October",2015,"2","0","Direct","Transient"
"Resort Hotel","October",2016,"1","0","TA/TO","Transient"
"Resort Hotel","January",2017,"3","0","Direct","Transient"
"City Hotel","April",2017,"5","0","Direct","Transient"
"City Hotel","September",2015,"21","0","Direct","Transient"
"Resort Hotel","October",2016,"5","0","Corporate","Transient"
"Resort Hotel","May",2016,"70","9","Corporate","Transient"
"City Hotel","May",2017,"2","0","Corporate","Group"
"Resort Hotel","July",2015,"20","4","Corporate","Transient"
"City Hotel","September",2015,"32","3","TA/TO","Contract"
"Resort Hotel","January",2017,"2","0","TA/TO","Group"
"Resort Hotel","December",2015,"3","1","TA/TO","Group"
"City Hotel","May",2016,"1467","514","TA/TO","Transient"
"City Hotel","July",2016,"2","0","Direct","Transient"
"Resort Hotel","February",2016,"17","2","Direct","Transient-Party"
"Resort Hotel","June",2016,"52","3","TA/TO","Transient-Party"
"City Hotel","August",2016,"2121","819","TA/TO","Transient"
"Resort Hotel","May",2017,"49","18","Direct","Transient-Party"
"City Hotel","September",2015,"1","0","Direct","Transient"
"City Hotel","July",2015,"155","66","TA/TO","Transient-Party"
"City Hotel","December",2016,"4","0","TA/TO","Transient"
"City Hotel","June",2016,"81","5","TA/TO","Transient-Party"
"Resort Hotel","April",2017,"6","3","Direct","Transient"
"City Hotel","September",2015,"332","54","TA/TO","Contract"
"City Hotel","May",2017,"1","0","TA/TO","Transient"
"City Hotel","April",2016,"17","2","Corporate","Transient-Party"
"Resort Hotel","April",2016,"7","0","Direct","Transient"
"Resort Hotel","March",2016,"16","0","Corporate","Transient-Party"
"City Hotel","May",2016,"7","4","Corporate","Transient-Party"
"City Hotel","May",2017,"26","1","Corporate","Transient"
"Resort Hotel","May",2016,"6","0","TA/TO","Group"
"City Hotel","April",2016,"1","1","Direct","Group"
"City Hotel","January",2017,"276","273","TA/TO","Transient"
"Resort Hotel","April",2017,"1","0","Direct","Transient-Party"
"City Hotel","May",2017,"2","2","Direct","Transient-Party"
"City Hotel","March",2017,"13","1","Corporate","Transient"
"City Hotel","February",2016,"48","6","Corporate","Transient"
"Resort Hotel","June",2016,"49","49","TA/TO","Transient"
"Resort Hotel","August",2016,"1","0","Direct","Transient"
"City Hotel","March",2017,"12","1","Corporate","Transient-Party"
"City Hotel","October",2015,"156","38","Direct","Transient"
"Resort Hotel","August",2016,"7","1","Corporate","Transient"
"Resort Hotel","November",2015,"153","11","TA/TO","Transient"
"Resort Hotel","December",2016,"2","0","TA/TO","Transient"
"Resort Hotel","October",2015,"11","0","Direct","Transient-Party"
"Resort Hotel","May",2017,"3","0","Direct","Transient"
"City Hotel","July",2016,"301","112","TA/TO","Transient"
"Resort Hotel","September",2015,"5","4","TA/TO","Group"
"City Hotel","December",2016,"80","9","Corporate","Transient"
"Resort Hotel","November",2016,"1","0","Corporate","Group"
"City Hotel","March",2017,"10","4","Direct","Transient-Party"
"Resort Hotel","May",2016,"53","7","TA/TO","Transient-Party"
"Resort Hotel","October",2015,"98","1","Corporate","Transient-Party"
"Resort Hotel","November",2015,"2","0","Direct","Group"
"Resort Hotel","March",2016,"6","3","Direct","Transient"
"Resort Hotel","July",2017,"49","33","Corporate","Transient"
"City Hotel","December",2016,"111","111","TA/TO","Transient"
"Resort Hotel","November",2016,"3","0","TA/TO","Transient"
"Resort Hotel","October",2016,"3","0","Direct","Transient"
"City Hotel","November",2015,"53","52","TA/TO","Transient"
"Resort Hotel","September",2016,"50","7","TA/TO","Transient-Party"
"Resort Hotel","August",2017,"269","58","Direct","Transient"
"Resort Hotel","January",2017,"2","0","Corporate","Transient"
"City Hotel","March",2017,"67","5","Corporate","Transient"
"City Hotel","January",2016,"2","1","TA/TO","Transient"
"Resort Hotel","December",2015,"1","0","Direct","Group"
"Resort Hotel","March",2017,"124","11","TA/TO","Transient"
"Resort Hotel","October",2016,"2","0","Corporate","Transient-Party"
"Resort Hotel","September",2016,"1","0","TA/TO","Group"
"City Hotel","August",2017,"325","71","Direct","Transient"
"Resort Hotel","December",2016,"1","0","Direct","Transient-Party"
"City Hotel","February",2017,"1","1","Corporate","Group"
"City Hotel","June",2017,"4","0","Direct","Transient"
"City Hotel","May",2016,"1","0","TA/TO","Contract"
"Resort Hotel","October",2015,"4","4","Corporate","Contract"
"City Hotel","February",2017,"1","0","Direct","Transient"
"Resort Hotel","November",2016,"70","1","TA/TO","Transient-Party"
"Resort Hotel","October",2015,"25","25","TA/TO","Transient-Party"
"Resort Hotel","June",2016,"1","0","TA/TO","Transient"
"City Hotel","November",2015,"33","0","TA/TO","Group"
"City Hotel","January",2016,"1","0","Direct","Transient"
"City Hotel","October",2015,"84","6","Corporate","Transient"
"Resort Hotel","March",2017,"100","7","Corporate","Transient-Party"
"City Hotel","June",2017,"2","0","Direct","Transient"
"City Hotel","February",2016,"92","6","TA/TO","Transient-Party"
"Resort Hotel","December",2015,"77","22","TA/TO","Transient-Party"
"City Hotel","August",2015,"8","0","Direct","Transient"
"Resort Hotel","November",2015,"49","4","TA/TO","Transient-Party"
"City Hotel","June",2017,"1","0","Corporate","Transient"
"City Hotel","December",2016,"4","0","TA/TO","Transient"
"Resort Hotel","June",2017,"58","27","Corporate","Transient"
"Resort Hotel","January",2017,"85","5","TA/TO","Transient"
"City Hotel","March",2017,"1","1","Direct","Transient"
"Resort Hotel","September",2015,"35","27","TA/TO","Transient"
"City Hotel","October",2015,"416","101","TA/TO","Contract"
"City Hotel","December",2015,"154","53","TA/TO","Contract"
"Resort Hotel","October",2015,"164","17","Direct","Transient"
"Resort Hotel","September",2015,"438","138","TA/TO","Transient"
"Resort Hotel","May",2016,"6","0","TA/TO","Group"
"Resort Hotel","February",2017,"16","0","TA/TO","Contract"
"City Hotel","March",2017,"3","0","TA/TO","Transient-Party"
"City Hotel","June",2017,"2","0","TA/TO","Transient"
"Resort Hotel","November",2016,"5","0","TA/TO","Transient-Party"
"City Hotel","March",2017,"2","0","Direct","Group"
"Resort Hotel","October",2016,"23","3","Corporate","Transient-Party"
"Resort Hotel","November",2016,"1","0","Direct","Transient"
"Resort Hotel","January",2017,"77","4","TA/TO","Transient-Party"
"Resort Hotel","September",2016,"21","20","Direct","Transient"
"City Hotel","February",2017,"1","1","Corporate","Transient"
"Resort Hotel","July",2017,"1","0","TA/TO","Transient"
"Resort Hotel","August",2015,"1","1","Direct","Transient"
"Resort Hotel","August",2017,"1","0","TA/TO","Group"
"Resort Hotel","October",2016,"3","0","Direct","Group"
"City Hotel","December",2016,"3","0","Direct","Transient"
"City Hotel","January",2017,"16","4","TA/TO","Transient-Party"
"City Hotel","November",2016,"1","0","Direct","Transient"
"Resort Hotel","September",2015,"11","0","Direct","Transient-Party"
"City Hotel","April",2017,"200","51","TA/TO","Transient-Party"
"City Hotel","August",2015,"846","555","TA/TO","Transient-Party"
"City Hotel","June",2016,"3","1","Corporate","Transient"
"Resort Hotel","September",2016,"191","37","Direct","Transient"
"Resort Hotel","November",2016,"8","0","Direct","Transient"
"Resort Hotel","August",2016,"988","454","TA/TO","Transient"
"City Hotel","April",2016,"195","15","TA/TO","Transient-Party"
"Resort Hotel","April",2016,"2","0","Direct","Transient-Party"
"City Hotel","June",2017,"44","15","Corporate","Transient-Party"
"City Hotel","January",2016,"1","0","TA/TO","Transient-Party"
"City Hotel","September",2016,"1","0","Corporate","Transient"
"Resort Hotel","March",2017,"10","0","Direct","Transient"
"City Hotel","November",2016,"2","0","Corporate","Transient"
"City Hotel","January",2016,"26","0","TA/TO","Transient-Party"
"Resort Hotel","January",2017,"4","0","Direct","Group"
"City Hotel","July",2015,"21","9","Direct","Transient"
"Resort Hotel","January",2017,"13","0","TA/TO","Transient-Party"
"City Hotel","March",2016,"54","7","Corporate","Transient-Party"
