"hotel","country","arrival_date_month","num_booking","num_cancel","distribution_channel","total_parking","total_special_request"
"City Hotel","LBN","June","2","1","TA/TO","0","2"
"City Hotel","THA","May","6","4","TA/TO","0","3"
"Resort Hotel","ARG","April","3","0","Direct","2","1"
"Resort Hotel","GBR","January","31","3","Direct","1","16"
"City Hotel","ARE","April","7","5","TA/TO","0","4"
"City Hotel","JPN","May","12","6","TA/TO","0","10"
"City Hotel","GBR","September","4","0","Corporate","0","0"
"City Hotel","IRL","May","134","41","TA/TO","0","143"
"City Hotel","MYS","April","1","0","TA/TO","0","0"
"City Hotel","AUS","May","45","9","TA/TO","0","41"
"City Hotel","NLD","October","5","0","Corporate","0","0"
"City Hotel","MAR","April","4","2","Direct","1","5"
"Resort Hotel","MDV","July","1","1","Direct","0","0"
"City Hotel","GBR","April","48","5","Direct","0","31"
"Resort Hotel","SWE","May","11","1","TA/TO","2","8"
"Resort Hotel","USA","June","40","8","TA/TO","13","39"
"City Hotel","DOM","July","5","5","TA/TO","0","0"
"Resort Hotel","ESP","June","46","5","Direct","27","26"
"City Hotel","SVK","March","2","0","TA/TO","0","2"
"Resort Hotel","FRA","May","3","0","Corporate","1","0"
"City Hotel","JEY","December","1","1","TA/TO","0","0"
"Resort Hotel","CHN","January","8","0","Direct","0","0"
"Resort Hotel","PRT","September","78","33","Corporate","5","5"
"Resort Hotel","PAK","August","1","0","TA/TO","1","0"
"City Hotel","AGO","September","21","3","Direct","0","12"
"Resort Hotel","BEL","March","18","0","Direct","3","2"
"City Hotel","BGR","August","1","0","Direct","0","0"
"Resort Hotel","BEL","October","33","8","TA/TO","7","46"
"Resort Hotel","MDV","April","2","2","TA/TO","0","1"
"City Hotel","ESP","February","4","0","GDS","0","0"
"Resort Hotel","THA","March","1","0","Direct","1","0"
"City Hotel","DEU","October","4","0","Corporate","0","0"
"City Hotel","CYP","May","4","2","TA/TO","0","2"
"City Hotel","CIV","April","1","0","TA/TO","0","0"
"City Hotel","CHE","May","154","42","TA/TO","2","129"
"Resort Hotel","GIB","November","4","0","TA/TO","0","0"
"Resort Hotel","LUX","August","3","0","Direct","1","3"
"City Hotel","SWE","February","8","0","TA/TO","0","5"
"Resort Hotel","CN","May","4","0","Direct","3","1"
"City Hotel","TUR","April","1","0","Direct","1","0"
"Resort Hotel","AUT","March","21","0","Direct","7","2"
"City Hotel","CHE","June","17","1","Direct","1","15"
"City Hotel","SGP","January","4","4","TA/TO","0","6"
"Resort Hotel","ESP","November","31","2","Direct","9","12"
"Resort Hotel","CYM","October","1","0","TA/TO","0","2"
"Resort Hotel","NZL","May","2","0","TA/TO","0","2"
"Resort Hotel","LVA","July","1","1","TA/TO","0","1"
"City Hotel","ITA","June","6","1","Corporate","0","0"
"Resort Hotel","ZAF","December","3","0","TA/TO","0","4"
"City Hotel","AUS","May","1","0","Corporate","0","0"
"City Hotel","HRV","May","2","0","Corporate","0","0"
"City Hotel","POL","April","8","0","Direct","1","2"
"City Hotel","FRA","February","9","0","Corporate","0","1"
"City Hotel","DEU","January","2","1","GDS","0","0"
"City Hotel","IRL","July","136","54","TA/TO","0","91"
"City Hotel","CZE","September","10","2","TA/TO","1","7"
"Resort Hotel","GBR","December","240","36","TA/TO","18","209"
"City Hotel","MDV","January","1","0","TA/TO","0","0"
"Resort Hotel","CHE","September","14","1","Direct","10","6"
"City Hotel","DNK","November","14","1","TA/TO","0","18"
"Resort Hotel","AND","July","2","1","TA/TO","1","0"
"City Hotel","JEY","May","2","2","TA/TO","0","0"
"Resort Hotel","FRA","April","2","0","Corporate","1","0"
"City Hotel","ISL","June","1","0","TA/TO","0","0"
"Resort Hotel","SVN","November","2","0","TA/TO","0","4"
"City Hotel","CN","June","48","14","TA/TO","0","46"
"City Hotel","CZE","August","33","0","TA/TO","0","6"
"City Hotel","NOR","May","5","0","Corporate","0","0"
"Resort Hotel","PRT","February","470","70","Direct","92","232"
"Resort Hotel","PRI","July","1","0","Corporate","0","0"
"City Hotel","USA","November","2","2","GDS","0","3"
"City Hotel","ZAF","February","4","2","TA/TO","1","6"
"Resort Hotel","ROU","December","2","0","TA/TO","0","2"
"City Hotel","ESP","December","468","183","TA/TO","30","358"
"Resort Hotel","CN","January","2","0","Direct","1","0"
"Resort Hotel","BLR","September","2","0","TA/TO","1","4"
"City Hotel","CHN","February","1","0","Corporate","0","0"
"City Hotel","MEX","September","1","0","Direct","0","0"
"City Hotel","BLR","September","4","0","TA/TO","0","4"
"City Hotel","BRA","February","2","0","Corporate","0","0"
"City Hotel","CHL","January","2","1","TA/TO","1","3"
"City Hotel","PER","January","5","0","TA/TO","0","3"
"City Hotel","FIN","November","1","1","GDS","0","0"
"City Hotel","IRL","July","15","1","Direct","1","10"
"Resort Hotel","IRL","December","5","1","Direct","1","3"
"Resort Hotel","ISR","June","3","3","TA/TO","0","3"
"City Hotel","URY","July","1","0","Direct","1","2"
"City Hotel","NLD","August","18","3","Direct","5","8"
"Resort Hotel","DEU","July","55","10","TA/TO","9","46"
"City Hotel","DEU","July","741","121","TA/TO","8","494"
"Resort Hotel","ITA","December","27","6","TA/TO","7","33"
"City Hotel","DEU","November","195","46","TA/TO","3","176"
"City Hotel","DNK","July","73","22","TA/TO","2","64"
"Resort Hotel","ITA","August","1","0","Corporate","0","1"
"Resort Hotel","USA","October","24","0","TA/TO","6","17"
"City Hotel","BEL","January","2","1","Corporate","0","1"
"City Hotel","SAU","June","1","0","Direct","0","0"
"City Hotel","DNK","April","23","9","TA/TO","1","24"
"City Hotel","UKR","September","3","1","TA/TO","0","4"
"Resort Hotel","ESP","August","95","11","Direct","32","85"
"Resort Hotel","EST","April","3","0","TA/TO","2","3"
"Resort Hotel","HUN","August","4","2","TA/TO","0","8"
"Resort Hotel","CHE","October","16","2","TA/TO","4","8"
"Resort Hotel","EST","January","3","1","TA/TO","1","3"
"Resort Hotel","GBR","October","319","1","Corporate","53","48"
"City Hotel","CHN","July","8","0","Direct","0","9"
"Resort Hotel","GBR","November","280","42","TA/TO","14","201"
"City Hotel","KNA","November","1","0","TA/TO","0","0"
"Resort Hotel","ISR","September","1","0","TA/TO","1","1"
"City Hotel","DEU","June","41","4","Direct","3","13"
"City Hotel","AND","January","1","1","TA/TO","0","1"
"City Hotel","ECU","January","2","1","TA/TO","0","3"
"City Hotel","DNK","October","2","0","Corporate","0","0"
"Resort Hotel","LUX","April","2","1","TA/TO","0","2"
"City Hotel","FRA","November","2","0","GDS","0","0"
"City Hotel","ZAF","August","9","4","TA/TO","0","5"
"Resort Hotel","ARG","April","1","0","TA/TO","0","0"
"City Hotel","SVK","July","3","0","TA/TO","0","2"
"City Hotel","MLT","August","2","2","TA/TO","0","2"
"City Hotel","ESP","September","7","1","Corporate","0","2"
"City Hotel","CN","May","1","0","Corporate","0","0"
"Resort Hotel","IRL","June","53","5","Direct","3","34"
"Resort Hotel","SUR","October","1","0","Corporate","1","0"
"Resort Hotel","PRT","December","853","393","TA/TO","77","503"
"City Hotel","FIN","July","6","1","Direct","1","4"
"Resort Hotel","ROU","July","6","2","Direct","2","6"
"Resort Hotel","POL","November","35","0","TA/TO","5","28"
"City Hotel","COL","March","5","3","TA/TO","0","1"
"City Hotel","UGA","September","1","0","TA/TO","0","0"
"Resort Hotel","AUT","January","5","3","TA/TO","0","4"
"City Hotel","HRV","October","1","0","Direct","0","0"
"City Hotel","CHE","August","94","36","TA/TO","3","68"
"Resort Hotel","AUT","April","34","1","TA/TO","0","9"
"Resort Hotel","CHE","February","6","2","TA/TO","1","5"
"Resort Hotel","CHE","March","10","1","TA/TO","4","10"
"City Hotel","TUN","August","1","1","TA/TO","0","1"
"City Hotel","ESP","July","329","140","TA/TO","17","230"
"City Hotel","PRT","December","2","0","GDS","0","0"
"City Hotel","GNB","March","4","0","Direct","0","0"
"City Hotel","AGO","January","19","6","Direct","0","3"
"Resort Hotel","IRN","August","1","0","TA/TO","0","1"
"City Hotel","ARE","March","8","8","TA/TO","0","3"
"Resort Hotel","OMN","August","1","0","TA/TO","0","0"
"City Hotel","MNE","April","1","1","TA/TO","0","2"
"City Hotel","BGR","November","1","0","TA/TO","0","0"
"Resort Hotel","POL","January","22","3","TA/TO","6","14"
"City Hotel","ARG","August","5","2","TA/TO","0","0"
"City Hotel","IRL","October","109","57","TA/TO","1","88"
"City Hotel","FRA","May","876","187","TA/TO","17","618"
"Resort Hotel","ROU","October","2","0","Direct","0","0"
"City Hotel","HUN","June","13","3","TA/TO","1","19"
"City Hotel","SVN","January","1","0","TA/TO","0","0"
"City Hotel","GRC","October","1","0","Corporate","0","0"
"Resort Hotel","ZMB","October","1","0","TA/TO","0","3"
"Resort Hotel","NLD","April","49","11","TA/TO","5","17"
"Resort Hotel","EST","April","2","0","Direct","1","1"
"Resort Hotel","UKR","January","2","0","TA/TO","1","3"
"City Hotel","CHL","November","4","0","TA/TO","0","5"
"City Hotel","PRT","September","206","61","Corporate","16","37"
"City Hotel","GRC","April","6","6","TA/TO","0","1"
"Resort Hotel","DNK","October","1","0","TA/TO","0","0"
"City Hotel","BEL","November","77","14","TA/TO","1","112"
"Resort Hotel","ARG","February","2","0","TA/TO","2","1"
"City Hotel","AGO","December","8","7","TA/TO","0","6"
"City Hotel","COM","August","1","0","TA/TO","0","0"
"City Hotel","POL","January","2","0","Direct","1","2"
"City Hotel","HUN","February","13","4","TA/TO","0","10"
"Resort Hotel","PRT","September","256","82","Direct","64","143"
"City Hotel","BEL","February","81","19","TA/TO","0","85"
"City Hotel","PRT","May","214","93","Direct","10","83"
"City Hotel","USA","June","30","6","Direct","0","24"
"Resort Hotel","LTU","September","14","0","TA/TO","1","9"
"Resort Hotel","URY","March","1","0","Direct","0","0"
"City Hotel","ROU","November","27","7","TA/TO","0","27"
"City Hotel","PER","June","1","0","Corporate","0","0"
"Resort Hotel","CHE","December","1","0","Direct","0","0"
"Resort Hotel","ITA","October","13","2","TA/TO","6","12"
"Resort Hotel","AUT","March","8","0","TA/TO","2","2"
"City Hotel","SWE","November","2","0","Corporate","0","0"
"City Hotel","ISL","September","2","1","TA/TO","0","1"
"Resort Hotel","RUS","January","6","0","TA/TO","3","4"
"Resort Hotel","USA","February","4","0","Direct","1","1"
"City Hotel","SVN","November","5","1","TA/TO","0","4"
"City Hotel","VNM","October","1","1","TA/TO","0","0"
"City Hotel","EGY","August","2","1","TA/TO","0","1"
"City Hotel","CHE","January","24","4","TA/TO","1","15"
"Resort Hotel","GBR","November","7","0","Corporate","1","0"
"Resort Hotel","ECU","March","1","0","Direct","0","0"
"City Hotel","LUX","August","24","5","TA/TO","1","23"
"Resort Hotel","PRT","July","533","137","Direct","140","387"
"Resort Hotel","BRA","September","17","7","TA/TO","4","13"
"City Hotel","GTM","May","1","0","TA/TO","0","1"
"City Hotel","DNK","October","26","12","TA/TO","0","17"
"City Hotel","CYP","November","4","0","Corporate","0","0"
"Resort Hotel","NLD","March","31","5","TA/TO","6","30"
"City Hotel","ISL","May","1","0","Direct","0","0"
"City Hotel","CRI","November","1","0","Direct","0","1"
"Resort Hotel","ESP","May","27","0","Direct","11","16"
"City Hotel","ROU","February","22","8","TA/TO","0","18"
"City Hotel","NLD","May","154","36","TA/TO","1","129"
"City Hotel","BGR","April","1","0","Direct","0","1"
"City Hotel","LUX","July","1","0","Direct","0","0"
"City Hotel","JAM","June","1","0","TA/TO","0","1"
"City Hotel","ECU","February","1","0","TA/TO","0","0"
"City Hotel","USA","October","25","3","Direct","1","6"
"Resort Hotel","POL","April","4","1","Direct","0","2"
"Resort Hotel","URY","September","1","1","TA/TO","0","0"
"City Hotel","PRT","December","165","26","Corporate","18","63"
"City Hotel","USA","October","91","8","TA/TO","0","77"
"Resort Hotel","SUR","September","1","0","TA/TO","0","1"
"City Hotel","ESP","November","25","0","Corporate","0","4"
"Resort Hotel","UKR","July","2","0","TA/TO","0","0"
"City Hotel","PRT","July","208","54","Direct","15","144"
"Resort Hotel","FIN","February","11","0","TA/TO","3","8"
"Resort Hotel","KOR","June","1","0","TA/TO","1","0"
"Resort Hotel","ROU","July","39","6","TA/TO","3","46"
"City Hotel","NOR","November","33","5","TA/TO","0","46"
"City Hotel","ALB","February","1","0","TA/TO","0","1"
"Resort Hotel","VEN","November","2","0","TA/TO","1","4"
"Resort Hotel","POL","June","33","11","TA/TO","4","33"
"City Hotel","LUX","September","1","0","Direct","0","1"
"Resort Hotel","THA","May","1","0","TA/TO","1","2"
"City Hotel","ARE","August","1","1","TA/TO","0","0"
"City Hotel","GBR","July","676","211","TA/TO","11","571"
"Resort Hotel","IRL","December","69","8","TA/TO","5","61"
"Resort Hotel","SVK","February","2","0","TA/TO","0","2"
"City Hotel","POL","June","7","0","Corporate","0","0"
"Resort Hotel","EST","September","14","1","TA/TO","1","4"
"Resort Hotel","COL","July","4","1","TA/TO","1","4"
"City Hotel","CHE","March","7","0","Direct","0","9"
"City Hotel","ARG","July","4","1","Direct","0","3"
"Resort Hotel","RUS","March","7","2","TA/TO","1","4"
"Resort Hotel","AZE","July","1","0","TA/TO","0","1"
"Resort Hotel","SVN","April","1","0","Corporate","0","0"
"Resort Hotel","GEO","July","1","1","TA/TO","0","0"
"Resort Hotel","RUS","September","10","1","TA/TO","2","13"
"City Hotel","FRA","August","2","0","Corporate","0","0"
"City Hotel","KOR","February","7","4","TA/TO","0","5"
"Resort Hotel","SWE","January","1","0","Direct","1","0"
"City Hotel","UKR","June","4","1","TA/TO","0","5"
"City Hotel","ROU","May","4","0","Direct","0","6"
"City Hotel","AUS","January","6","0","Direct","0","2"
"City Hotel","ISR","April","94","27","TA/TO","1","98"
"City Hotel","HRV","July","1","0","TA/TO","0","1"
"City Hotel","ITA","June","4","0","GDS","0","0"
"City Hotel","ISR","May","50","10","TA/TO","0","46"
"City Hotel","NLD","June","5","0","GDS","0","0"
"City Hotel","MAR","August","41","24","TA/TO","1","37"
"Resort Hotel","JOR","June","1","0","TA/TO","0","1"
"City Hotel","NOR","July","96","25","TA/TO","1","86"
"Resort Hotel","CHN","April","6","0","TA/TO","0","7"
"City Hotel","NGA","March","2","2","Direct","0","2"
"Resort Hotel","KAZ","April","1","0","TA/TO","0","0"
"City Hotel","KWT","April","2","1","TA/TO","1","3"
"Resort Hotel","GBR","September","110","90","Corporate","2","0"
"City Hotel","ATA","October","1","0","Direct","0","0"
"Resort Hotel","CPV","April","1","0","TA/TO","0","1"
"City Hotel","POL","March","53","15","TA/TO","1","40"
"City Hotel","NOR","February","6","3","TA/TO","0","2"
"Resort Hotel","SWE","August","7","0","TA/TO","1","10"
"City Hotel","BLR","January","1","1","Direct","0","0"
"Resort Hotel","RUS","November","3","0","Direct","2","1"
"Resort Hotel","PRT","August","657","153","Direct","179","590"
"Resort Hotel","IDN","July","1","0","Direct","1","0"
"City Hotel","CN","May","80","17","TA/TO","0","73"
"City Hotel","PRT","August","355","87","Direct","22","260"
"Resort Hotel","COL","November","2","2","TA/TO","0","1"
"City Hotel","NLD","September","97","20","TA/TO","4","115"
"City Hotel","AUS","December","3","2","TA/TO","0","2"
"City Hotel","HRV","May","11","4","TA/TO","0","9"
"City Hotel","PRT","June","303","151","Corporate","19","86"
"Resort Hotel","FIN","May","4","1","TA/TO","0","6"
"Resort Hotel","AGO","June","3","0","Direct","1","0"
"City Hotel","CN","August","13","1","Direct","0","10"
"City Hotel","DNK","December","8","3","TA/TO","0","6"
"Resort Hotel","BRA","May","7","1","Direct","2","7"
"City Hotel","HUN","November","21","12","TA/TO","0","26"
"City Hotel","VEN","March","1","0","Corporate","0","0"
"Resort Hotel","IRN","July","1","0","TA/TO","0","2"
"City Hotel","DEU","April","40","1","Direct","2","19"
"City Hotel","SVN","December","2","0","TA/TO","0","2"
"City Hotel","LVA","November","1","0","TA/TO","0","2"
"City Hotel","JPN","September","15","2","TA/TO","0","14"
"City Hotel","CN","October","40","10","TA/TO","1","37"
"Resort Hotel","ARE","May","2","2","TA/TO","0","2"
"City Hotel","CHE","June","116","29","TA/TO","4","92"
"Resort Hotel","USA","September","26","2","TA/TO","6","14"
"Resort Hotel","POL","February","15","3","TA/TO","1","13"
"City Hotel","IDN","July","3","3","TA/TO","0","0"
"City Hotel","NZL","November","1","0","Corporate","0","0"
"Resort Hotel","USA","January","4","0","Direct","0","1"
"Resort Hotel","MAR","August","1","1","Direct","0","0"
"City Hotel","DEU","June","13","0","Corporate","0","3"
"Resort Hotel","ECU","December","1","0","Direct","1","0"
"City Hotel","PER","June","4","0","TA/TO","0","4"
"City Hotel","BEL","April","23","3","Direct","1","13"
"City Hotel","ZMB","April","1","1","TA/TO","0","1"
"City Hotel","LVA","July","1","0","Direct","0","2"
"Resort Hotel","NOR","November","4","0","TA/TO","0","4"
"City Hotel","GBR","April","439","159","TA/TO","2","365"
"City Hotel","HUN","October","18","7","TA/TO","0","18"
"Resort Hotel","AUS","December","2","0","TA/TO","0","1"
"Resort Hotel","IRL","April","142","33","TA/TO","7","81"
"City Hotel","HRV","June","1","0","Corporate","0","0"
"Resort Hotel","CPV","May","2","0","TA/TO","0","2"
"City Hotel","ROU","July","1","0","Direct","0","0"
"Resort Hotel","POL","October","2","0","Direct","2","3"
"Resort Hotel","HUN","March","1","0","Direct","0","0"
"City Hotel","GRC","April","8","0","Corporate","0","0"
"Resort Hotel","IRL","May","47","4","Direct","2","24"
"Resort Hotel","DZA","November","3","0","TA/TO","1","1"
"Resort Hotel","USA","November","2","0","Corporate","0","0"
"City Hotel","CPV","July","1","1","TA/TO","0","0"
"Resort Hotel","DNK","June","1","0","Direct","1","2"
"City Hotel","CZE","June","1","1","Direct","0","3"
"City Hotel","IRL","June","21","6","Direct","0","21"
"City Hotel","AGO","June","9","6","Direct","0","1"
"City Hotel","BIH","May","1","0","TA/TO","0","0"
"Resort Hotel","ROU","March","6","2","TA/TO","2","6"
"Resort Hotel","BRA","August","44","9","TA/TO","5","44"
"City Hotel","MAR","February","1","0","Direct","1","3"
"City Hotel","ISR","June","1","0","Direct","0","1"
"City Hotel","LUX","April","1","0","Direct","0","2"
"City Hotel","SWE","March","47","12","TA/TO","0","15"
"City Hotel","BRA","April","164","89","TA/TO","4","129"
"City Hotel","BGR","December","5","2","TA/TO","0","3"
"City Hotel","SRB","February","2","1","TA/TO","0","2"
"City Hotel","DZA","September","1","0","TA/TO","0","2"
"Resort Hotel","FIN","March","19","2","TA/TO","4","8"
"City Hotel","CHE","December","1","0","Corporate","0","0"
"Resort Hotel","URY","August","2","1","TA/TO","0","1"
"City Hotel","RUS","April","5","2","Direct","0","1"
"Resort Hotel","SRB","April","2","0","TA/TO","1","3"
"City Hotel","BEL","October","124","32","TA/TO","4","191"
"City Hotel","SAU","February","7","7","TA/TO","0","0"
"Resort Hotel","DEU","October","72","12","TA/TO","7","59"
"City Hotel","PRT","August","132","37","Corporate","23","93"
"City Hotel","GHA","February","1","0","TA/TO","0","0"
"Resort Hotel","AGO","February","1","0","Direct","1","0"
"Resort Hotel","NOR","June","1","0","Direct","0","0"
"City Hotel","NLD","July","15","1","Direct","0","17"
"Resort Hotel","ARG","June","13","2","TA/TO","5","5"
"City Hotel","FIN","July","31","5","TA/TO","0","30"
"City Hotel","FRA","December","444","71","TA/TO","8","305"
"Resort Hotel","CN","August","72","7","TA/TO","6","68"
"City Hotel","TUN","June","3","2","TA/TO","1","3"
"Resort Hotel","ESP","August","678","245","TA/TO","89","707"
"Resort Hotel","PRT","October","266","102","Corporate","21","28"
"Resort Hotel","EGY","August","1","0","TA/TO","0","0"
"City Hotel","NGA","November","3","3","TA/TO","0","2"
"City Hotel","DEU","May","1","0","GDS","0","0"
"City Hotel","EST","May","2","0","Corporate","0","0"
"City Hotel","GGY","July","2","2","TA/TO","0","0"
"Resort Hotel","NOR","May","15","1","TA/TO","2","9"
"Resort Hotel","CYP","August","1","0","TA/TO","0","0"
"Resort Hotel","SVN","February","1","0","TA/TO","0","0"
"City Hotel","AUS","August","40","7","TA/TO","0","35"
"Resort Hotel","DEU","May","204","23","TA/TO","14","72"
"City Hotel","AUS","January","23","10","TA/TO","0","29"
"City Hotel","NLD","November","2","0","GDS","0","0"
"City Hotel","ISL","May","1","0","TA/TO","0","1"
"City Hotel","IND","June","1","1","Direct","0","2"
"City Hotel","BEL","October","2","0","GDS","0","0"
"City Hotel","FRA","August","119","14","Direct","14","99"
"City Hotel","DEU","December","2","0","GDS","0","0"
"City Hotel","ISR","September","27","6","TA/TO","3","33"
"City Hotel","TJK","May","8","8","TA/TO","0","0"
"Resort Hotel","NLD","June","6","0","Direct","2","2"
"Resort Hotel","LUX","September","3","1","TA/TO","1","3"
"Resort Hotel","SVN","August","2","0","TA/TO","1","1"
"City Hotel","SAU","September","2","2","TA/TO","0","0"
"City Hotel","ARG","July","11","6","TA/TO","0","8"
"City Hotel","KWT","November","2","0","TA/TO","0","1"
"Resort Hotel","AUS","April","3","0","Direct","1","0"
"City Hotel","LBN","November","2","0","TA/TO","0","0"
"City Hotel","FRA","February","602","124","TA/TO","11","415"
"Resort Hotel","BEL","February","14","1","TA/TO","4","16"
"City Hotel","EGY","September","4","3","TA/TO","0","1"
"City Hotel","DNK","November","1","0","Direct","0","0"
"City Hotel","ROU","December","19","7","TA/TO","1","13"
"City Hotel","HUN","February","1","0","Direct","0","1"
"City Hotel","ROU","February","2","2","Direct","0","0"
"City Hotel","LBN","May","1","0","TA/TO","0","0"
"Resort Hotel","CN","August","2","0","Corporate","1","0"
"City Hotel","DEU","November","13","1","Direct","2","5"
"City Hotel","CHN","May","74","51","TA/TO","1","30"
"Resort Hotel","BRA","February","15","6","TA/TO","4","15"
"Resort Hotel","AUT","August","1","0","Corporate","0","2"
"City Hotel","CHL","June","4","1","TA/TO","0","3"
"Resort Hotel","ISR","October","2","2","TA/TO","0","0"
"City Hotel","SVK","June","1","0","Corporate","0","0"
"City Hotel","TWN","October","2","2","TA/TO","0","0"
"City Hotel","AUS","August","2","0","Direct","0","2"
"Resort Hotel","NLD","August","1","0","Direct","0","1"
"City Hotel","CN","September","1","0","Corporate","0","0"
"City Hotel","POL","June","42","14","TA/TO","0","37"
"City Hotel","DEU","May","603","139","TA/TO","14","382"
"Resort Hotel","MAR","October","1","0","TA/TO","1","0"
"Resort Hotel","JAM","April","2","0","TA/TO","1","2"
"City Hotel","UKR","April","3","0","TA/TO","1","4"
"City Hotel","BGR","July","1","0","Direct","0","0"
"Resort Hotel","EST","June","1","0","TA/TO","1","2"
"City Hotel","CPV","April","1","1","TA/TO","0","0"
"City Hotel","IDN","June","2","1","TA/TO","0","0"
"Resort Hotel","ITA","May","20","1","TA/TO","6","14"
"City Hotel","FIN","October","2","0","Corporate","0","0"
"Resort Hotel","SWE","January","5","0","TA/TO","1","2"
"City Hotel","ESP","June","18","2","Direct","2","10"
"Resort Hotel","JAM","May","1","0","TA/TO","0","3"
"Resort Hotel","CYP","September","2","1","TA/TO","0","0"
"City Hotel","SRB","July","4","1","TA/TO","0","3"
"City Hotel","CHL","September","4","1","TA/TO","0","3"
"City Hotel","BGD","July","1","1","TA/TO","0","1"
"City Hotel","BRA","September","104","26","TA/TO","0","83"
"City Hotel","CYP","January","14","0","TA/TO","0","14"
"Resort Hotel","CAF","February","2","0","TA/TO","0","1"
"City Hotel","PRT","March","3","0","GDS","0","0"
"City Hotel","IRL","November","9","0","Direct","0","6"
"City Hotel","GTM","January","3","0","TA/TO","0","0"
"City Hotel","KWT","August","2","2","TA/TO","0","2"
"Resort Hotel","NLD","July","41","7","TA/TO","6","35"
"City Hotel","JPN","March","1","0","Direct","0","0"
"Resort Hotel","CHN","February","22","0","TA/TO","1","28"
"City Hotel","SWE","July","7","1","Direct","2","9"
"City Hotel","HUN","March","32","13","TA/TO","0","25"
"Resort Hotel","BLR","November","1","0","TA/TO","0","0"
"City Hotel","ETH","August","1","0","Direct","0","0"
"City Hotel","ARG","May","11","0","Direct","0","6"
"City Hotel","CHE","September","8","3","Direct","0","4"
"Resort Hotel","ROU","February","1","0","Direct","0","1"
"City Hotel","TWN","May","1","0","Corporate","0","0"
"Resort Hotel","CHE","May","38","11","TA/TO","10","31"
"City Hotel","HUN","April","10","8","TA/TO","0","4"
"City Hotel","FRA","November","43","2","Direct","0","31"
"Resort Hotel","GBR","November","15","2","Direct","1","9"
"City Hotel","CHN","August","7","0","Corporate","0","0"
"City Hotel","ESP","March","15","0","Corporate","0","4"
"City Hotel","KOR","February","1","0","Corporate","0","0"
"City Hotel","ITA","January","5","0","Corporate","0","1"
"City Hotel","OMN","April","1","0","TA/TO","0","2"
"Resort Hotel","FIN","October","14","2","TA/TO","4","16"
"Resort Hotel","CHN","August","13","1","TA/TO","1","10"
"Resort Hotel","DEU","November","7","0","Corporate","0","0"
"City Hotel","USA","March","121","30","TA/TO","3","68"
"Resort Hotel","EST","March","1","0","TA/TO","0","1"
"City Hotel","IRL","January","1","0","Corporate","0","0"
"Resort Hotel","BEL","September","13","3","TA/TO","6","8"
"City Hotel","UKR","July","5","3","TA/TO","0","3"
"Resort Hotel","PER","September","1","0","TA/TO","1","0"
"Resort Hotel","OMN","October","3","0","TA/TO","2","2"
"City Hotel","CRI","December","2","0","TA/TO","0","2"
"City Hotel","EST","April","2","0","Direct","1","0"
"Resort Hotel","TWN","July","12","0","TA/TO","0","12"
"Resort Hotel","HKG","September","1","1","TA/TO","0","1"
"City Hotel","JOR","August","1","0","TA/TO","0","0"
"City Hotel","ESP","December","2","2","GDS","0","0"
"City Hotel","CHN","January","80","49","TA/TO","3","55"
"City Hotel","AUT","September","44","4","TA/TO","3","38"
"Resort Hotel","BDI","May","1","0","TA/TO","0","0"
"City Hotel","VNM","November","1","1","TA/TO","0","0"
"City Hotel","PER","March","2","1","Direct","0","1"
"City Hotel","NOR","May","3","0","GDS","0","0"
"City Hotel","MEX","September","6","2","TA/TO","0","9"
"City Hotel","LVA","February","3","2","TA/TO","0","3"
"City Hotel","HUN","October","3","0","Direct","0","0"
"City Hotel","IDN","May","3","1","TA/TO","0","5"
"Resort Hotel","CN","August","10","2","Direct","1","7"
"City Hotel","CHL","January","1","0","Corporate","0","0"
"Resort Hotel","ESP","December","4","0","Corporate","2","2"
"City Hotel","BIH","June","1","0","Direct","0","0"
"City Hotel","BGR","September","1","0","TA/TO","0","0"
"Resort Hotel","ZAF","March","1","1","TA/TO","0","0"
"City Hotel","FRO","August","1","0","TA/TO","0","1"
"City Hotel","IND","September","6","0","TA/TO","0","9"
"City Hotel","PRT","October","4","3","GDS","0","0"
"City Hotel","SVK","November","1","0","Corporate","0","0"
"Resort Hotel","FIN","May","1","0","Corporate","1","2"
"City Hotel","MLT","April","1","0","Direct","0","0"
"Resort Hotel","ITA","February","2","0","Direct","0","1"
"City Hotel","SAU","January","1","0","Direct","0","0"
"City Hotel","IDN","September","1","0","Direct","0","0"
"City Hotel","HUN","December","6","1","TA/TO","0","6"
"City Hotel","RUS","July","34","16","TA/TO","1","25"
"Resort Hotel","MEX","August","1","0","TA/TO","0","0"
"City Hotel","CHN","June","66","34","TA/TO","1","45"
"Resort Hotel","RUS","October","2","0","Corporate","0","0"
"Resort Hotel","ROU","November","3","1","TA/TO","1","6"
"City Hotel","BRA","December","21","5","Direct","1","8"
"Resort Hotel","CN","March","47","4","TA/TO","4","26"
"City Hotel","AUT","November","12","0","Corporate","0","3"
"City Hotel","FRA","September","73","30","Corporate","0","1"
"Resort Hotel","CHL","September","1","0","Direct","1","0"
"City Hotel","JPN","June","20","4","TA/TO","0","27"
"Resort Hotel","PRT","June","807","538","TA/TO","97","501"
"City Hotel","GRC","April","2","0","Direct","0","1"
"City Hotel","SWE","September","3","0","Direct","0","0"
"Resort Hotel","NOR","February","3","0","TA/TO","0","2"
"City Hotel","IDN","August","1","1","TA/TO","0","0"
